trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,BasicSeat
00009,60000,71801,IRYO,IRYO,2025-01-03 11:22:00,2025-01-03 14:14:00,0 days 02:52:00,00009_03-01-2025-11.22,46.71
00006,60000,71801,AVE,AVE,2025-01-03 11:27:00,2025-01-03 14:46:00,0 days 03:19:00,00006_03-01-2025-11.27,98.13
00009,60000,71801,IRYO,IRYO,2025-01-03 12:22:00,2025-01-03 15:14:00,0 days 02:52:00,00009_03-01-2025-12.22,40.37
00013,60000,71801,AVE,AVE,2025-01-03 12:27:00,2025-01-03 15:44:00,0 days 03:17:00,00013_03-01-2025-12.27,41.44
00004,60000,71801,AVE,AVE,2025-01-03 12:57:00,2025-01-03 15:34:00,0 days 02:37:00,00004_03-01-2025-12.57,78.11
00014,60000,71801,AVE INT,AVE INT,2025-01-03 13:18:00,2025-01-03 16:22:00,0 days 03:04:00,00014_03-01-2025-13.18,55.14
00004,60000,71801,AVE,AVE,2025-01-03 13:57:00,2025-01-03 16:34:00,0 days 02:37:00,00004_03-01-2025-13.57,91.9
00009,60000,71801,IRYO,IRYO,2025-01-03 14:02:00,2025-01-03 16:54:00,0 days 02:52:00,00009_03-01-2025-14.02,80.08
00015,60000,71801,OUIGO,OUIGO,2025-01-03 14:12:00,2025-01-03 16:49:00,0 days 02:37:00,00015_03-01-2025-14.12,67.25
00016,60000,71801,AVE,AVE,2025-01-03 14:27:00,2025-01-03 17:24:00,0 days 02:57:00,00016_03-01-2025-14.27,96.56
00017,60000,71801,IRYO,IRYO,2025-01-03 14:42:00,2025-01-03 17:41:00,0 days 02:59:00,00017_03-01-2025-14.42,79.9
00004,60000,71801,AVE,AVE,2025-01-03 14:57:00,2025-01-03 17:34:00,0 days 02:37:00,00004_03-01-2025-14.57,85.14
00018,60000,71801,AVLO,AVLO,2025-01-03 15:27:00,2025-01-03 18:46:00,0 days 03:19:00,00018_03-01-2025-15.27,56.2
00004,60000,71801,AVE,AVE,2025-01-03 15:57:00,2025-01-03 18:34:00,0 days 02:37:00,00004_03-01-2025-15.57,85.09
00007,60000,71801,AVE,AVE,2025-01-03 16:27:00,2025-01-03 19:19:00,0 days 02:52:00,00007_03-01-2025-16.27,96.12
00002,60000,71801,IRYO,IRYO,2025-01-03 16:37:00,2025-01-03 19:14:00,0 days 02:37:00,00002_03-01-2025-16.37,73.08
00004,60000,71801,AVE,AVE,2025-01-03 16:57:00,2025-01-03 19:34:00,0 days 02:37:00,00004_03-01-2025-16.57,87.11
00015,60000,71801,OUIGO,OUIGO,2025-01-03 17:17:00,2025-01-03 19:54:00,0 days 02:37:00,00015_03-01-2025-17.17,62.67
00009,60000,71801,IRYO,IRYO,2025-01-03 17:22:00,2025-01-03 20:14:00,0 days 02:52:00,00009_03-01-2025-17.22,63.56
00018,60000,71801,AVLO,AVLO,2025-01-03 17:27:00,2025-01-03 20:46:00,0 days 03:19:00,00018_03-01-2025-17.27,51.14
00004,60000,71801,AVE,AVE,2025-01-03 17:57:00,2025-01-03 20:34:00,0 days 02:37:00,00004_03-01-2025-17.57,56.81
00016,60000,71801,AVE,AVE,2025-01-03 18:27:00,2025-01-03 21:24:00,0 days 02:57:00,00016_03-01-2025-18.27,75.94
00002,60000,71801,IRYO,IRYO,2025-01-03 18:32:00,2025-01-03 21:09:00,0 days 02:37:00,00002_03-01-2025-18.32,35.1
00004,60000,71801,AVE,AVE,2025-01-03 18:57:00,2025-01-03 21:34:00,0 days 02:37:00,00004_03-01-2025-18.57,56.49
00009,60000,71801,IRYO,IRYO,2025-01-03 19:29:00,2025-01-03 22:21:00,0 days 02:52:00,00009_03-01-2025-19.29,59.26
00019,60000,71801,AVLO,AVLO,2025-01-03 19:34:00,2025-01-03 22:55:00,0 days 03:21:00,00019_03-01-2025-19.34,36.42
00004,60000,71801,AVE,AVE,2025-01-03 20:05:00,2025-01-03 22:42:00,0 days 02:37:00,00004_03-01-2025-20.05,51.46
00009,60000,71801,IRYO,IRYO,2025-01-03 20:22:00,2025-01-03 23:14:00,0 days 02:52:00,00009_03-01-2025-20.22,52.31
00020,60000,71801,AVE,AVE,2025-01-03 20:27:00,2025-01-03 23:48:00,0 days 03:21:00,00020_03-01-2025-20.27,57.33
00005,60000,71801,OUIGO,OUIGO,2025-01-03 21:02:00,2025-01-03 23:54:00,0 days 02:52:00,00005_03-01-2025-21.02,41.42
00007,60000,71801,AVE,AVE,2025-01-03 21:07:00,2025-01-03 23:59:00,0 days 02:52:00,00007_03-01-2025-21.07,71.44
00021,60000,71801,AVLO,AVLO,2025-01-04 06:27:00,2025-01-04 09:25:00,0 days 02:58:00,00021_04-01-2025-06.27,25.35
00005,60000,71801,OUIGO,OUIGO,2025-01-04 07:02:00,2025-01-04 09:54:00,0 days 02:52:00,00005_04-01-2025-07.02,33.84
00006,60000,71801,AVE,AVE,2025-01-04 07:27:00,2025-01-04 10:46:00,0 days 03:19:00,00006_04-01-2025-07.27,53.8
