service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,capacity_window_1h,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00009_03-01-2025-09.57,IRYO,461,S-109,2025,1,4,9.95,172.0,65.39,411,970.0,-34.8,47.42,IRYO,172.0,-30.0,72.0,AVE,194.0,4.8,47.46,OUIGO,182.0,30.0,57.13,AVLO,172.0
00011_03-01-2025-10.02,OUIGO,509,S-108,2025,1,4,10.03,182.0,47.46,509,1551.0,-34.8,72.0,AVE,194.0,-4.8,65.39,IRYO,172.0,25.2,57.13,AVLO,172.0,80.4,74.44,IRYO,172.0
00012_03-01-2025-10.27,AVLO,581,S-106,2025,1,4,10.45,172.0,57.13,70,1090.0,-30.0,65.39,IRYO,172.0,-25.2,47.46,OUIGO,182.0,55.2,74.44,IRYO,172.0,60.0,111.64,AVE,199.0
00009_03-01-2025-11.22,IRYO,461,S-109,2025,1,4,11.37,172.0,74.44,286,1287.0,-80.4,47.46,OUIGO,182.0,-55.2,57.13,AVLO,172.0,4.8,111.64,AVE,199.0,60.0,74.54,IRYO,172.0
00006_03-01-2025-11.27,AVE,826,S-103,2025,1,4,11.45,199.0,111.64,4,1287.0,-60.0,57.13,AVLO,172.0,-4.8,74.44,IRYO,172.0,55.2,74.54,IRYO,172.0,60.0,62.41,AVE,197.0
00009_03-01-2025-12.22,IRYO,461,S-109,2025,1,4,12.37,172.0,74.54,216,839.0,-60.0,74.44,IRYO,172.0,-55.2,111.64,AVE,199.0,4.8,62.41,AVE,197.0,34.8,65.9,AVE,157.0
00013_03-01-2025-12.27,AVE,378,S-103,2025,1,4,12.45,197.0,62.41,378,839.0,-60.0,111.64,AVE,199.0,-4.8,74.54,IRYO,172.0,30.0,65.9,AVE,157.0,51.0,55.14,AVE,184.0
00004_03-01-2025-12.57,AVE,414,S-103,2025,1,4,12.95,157.0,65.9,414,753.0,-34.8,74.54,IRYO,172.0,-30.0,62.41,AVE,197.0,21.0,55.14,AVE,184.0,60.0,90.33,AVE,157.0
00014_03-01-2025-13.18,AVE,339,S-100,2025,1,4,13.3,184.0,55.14,339,753.0,-51.0,62.41,AVE,197.0,-21.0,65.9,AVE,157.0,39.0,90.33,AVE,157.0,43.8,70.11,IRYO,172.0
00004_03-01-2025-13.57,AVE,414,S-103,2025,1,4,13.95,157.0,90.33,40,1384.0,-60.0,65.9,AVE,157.0,-39.0,55.14,AVE,184.0,4.8,70.11,IRYO,172.0,15.0,58.44,OUIGO,157.0
