service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,capacity_window_1h
00004_06-01-2025-06.57,AVE,414,S-103,2025,1,0,6.95,157.0,62.08,222,1384.0
00005_06-01-2025-07.02,OUIGO,509,S-108,2025,1,0,7.03,172.0,46.15,114,1798.0
00002_06-01-2025-07.22,IRYO,461,S-109,2025,1,0,7.37,157.0,44.16,186,1798.0
00006_06-01-2025-07.27,AVE,414,S-103,2025,1,0,7.45,199.0,55.68,26,1384.0
00004_06-01-2025-07.57,AVE,414,S-103,2025,1,0,7.95,157.0,62.75,32,414.0
00007_06-01-2025-08.27,AVE,414,S-103,2025,1,0,8.45,172.0,74.26,4,1289.0
00002_06-01-2025-08.32,IRYO,461,S-109,2025,1,0,8.53,157.0,36.25,428,1711.0
00008_06-01-2025-08.57,AVE,836,S-103,2025,1,0,8.95,164.0,59.6,82,1758.0
00009_06-01-2025-09.22,IRYO,461,S-109,2025,1,0,9.37,172.0,55.16,68,1711.0
00010_06-01-2025-09.27,AVE,414,S-103,2025,1,0,9.45,194.0,76.24,11,875.0
00009_06-01-2025-09.57,IRYO,461,S-109,2025,1,0,9.95,172.0,44.89,361,970.0
00011_06-01-2025-10.02,OUIGO,509,S-108,2025,1,0,10.03,182.0,31.31,509,1551.0
00012_06-01-2025-10.27,AVLO,581,S-106,2025,1,0,10.45,172.0,38.5,54,1090.0
00009_06-01-2025-11.22,IRYO,461,S-109,2025,1,0,11.37,172.0,44.45,316,1287.0
00006_06-01-2025-11.27,AVE,826,S-103,2025,1,0,11.45,199.0,47.33,316,1287.0
00009_06-01-2025-12.22,IRYO,461,S-109,2025,1,0,12.37,172.0,26.9,461,839.0
00013_06-01-2025-12.27,AVE,378,S-103,2025,1,0,12.45,197.0,45.48,333,839.0
00004_06-01-2025-12.57,AVE,414,S-103,2025,1,0,12.95,157.0,42.28,414,753.0
00014_06-01-2025-13.18,AVE,339,S-100,2025,1,0,13.3,184.0,68.94,32,753.0
00009_06-01-2025-14.02,IRYO,461,S-109,2025,1,0,14.03,172.0,26.09,461,1261.0
00015_06-01-2025-14.12,OUIGO,509,S-108,2025,1,0,14.2,157.0,33.68,509,1261.0
00016_06-01-2025-14.27,AVE,291,S-100,2025,1,0,14.45,177.0,27.26,291,1722.0
00017_06-01-2025-14.42,IRYO,461,S-109,2025,1,0,14.7,179.0,51.36,73,1166.0
00004_06-01-2025-14.57,AVE,414,S-103,2025,1,0,14.95,157.0,33.69,414,875.0
00018_06-01-2025-15.27,AVLO,571,S-106,2025,1,0,15.45,199.0,33.45,469,571.0
00004_06-01-2025-15.57,AVE,414,S-103,2025,1,0,15.95,157.0,26.6,414,414.0
00007_06-01-2025-16.27,AVE,414,S-103,2025,1,0,16.45,172.0,67.92,10,875.0
00002_06-01-2025-16.37,IRYO,461,S-109,2025,1,0,16.62,157.0,46.9,344,1289.0
00004_06-01-2025-16.57,AVE,414,S-103,2025,1,0,16.95,157.0,53.5,414,1845.0
00015_06-01-2025-17.17,OUIGO,509,S-108,2025,1,0,17.28,157.0,25.13,509,1798.0
00009_06-01-2025-17.22,IRYO,461,S-109,2025,1,0,17.37,172.0,41.82,461,1798.0
00006_06-01-2025-17.27,AVE,414,S-103,2025,1,0,17.45,199.0,69.38,18,1384.0
00004_06-01-2025-17.57,AVE,414,S-103,2025,1,0,17.95,157.0,31.63,414,414.0
00016_06-01-2025-18.27,AVE,414,S-103,2025,1,0,18.45,177.0,41.55,414,875.0
00002_06-01-2025-18.32,IRYO,461,S-109,2025,1,0,18.53,157.0,20.87,461,1289.0
00004_06-01-2025-18.57,AVE,414,S-103,2025,1,0,18.95,157.0,41.99,414,875.0
00009_06-01-2025-19.29,IRYO,461,S-109,2025,1,0,19.48,172.0,61.82,35,1042.0
00019_06-01-2025-19.34,AVLO,581,S-106,2025,1,0,19.57,201.0,24.45,581,1042.0
00004_06-01-2025-20.05,AVE,414,S-103,2025,1,0,20.08,157.0,31.53,414,1289.0
00009_06-01-2025-20.22,IRYO,461,S-109,2025,1,0,20.37,172.0,27.87,461,1289.0
