service_id,train_type,year,month,day_of_week,departure_time,duration,price,passengers,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00004_02-01-2025-18.57,AVE,2025,1,3,18.95,157.0,68.78,114,-30.0,54.89,AVE,177.0,-25.2,47.8,IRYO,157.0,31.8,47.32,IRYO,172.0,37.2,39.58,AVLO,201.0
00009_02-01-2025-19.29,IRYO,2025,1,3,19.48,172.0,47.32,46,-57.0,47.8,IRYO,157.0,-31.8,68.78,AVE,157.0,5.4,39.58,AVLO,201.0,36.0,37.77,AVE,157.0
00019_02-01-2025-19.34,AVLO,2025,1,3,19.57,201.0,39.58,15,-37.2,68.78,AVE,157.0,-5.4,47.32,IRYO,172.0,30.6,37.77,AVE,157.0,48.0,27.67,IRYO,172.0
00004_02-01-2025-20.05,AVE,2025,1,3,20.08,157.0,37.77,609,-36.0,47.32,IRYO,172.0,-30.6,39.58,AVLO,201.0,17.4,27.67,IRYO,172.0,22.2,39.81,AVE,201.0
00009_02-01-2025-20.22,IRYO,2025,1,3,20.37,172.0,27.67,4317,-48.0,39.58,AVLO,201.0,-17.4,37.77,AVE,157.0,4.8,39.81,AVE,201.0,39.6,40.51,OUIGO,172.0
00020_02-01-2025-20.27,AVE,2025,1,3,20.45,201.0,39.81,38,-22.2,37.77,AVE,157.0,-4.8,27.67,IRYO,172.0,34.8,40.51,OUIGO,172.0,40.2,64.66,AVE,172.0
00005_02-01-2025-21.02,OUIGO,2025,1,3,21.03,172.0,40.51,0,-39.6,27.67,IRYO,172.0,-34.8,39.81,AVE,201.0,5.4,64.66,AVE,172.0,879.6,43.15,IRYO,157.0
00007_02-01-2025-21.07,AVE,2025,1,3,21.12,172.0,64.66,3,-40.2,39.81,AVE,201.0,-5.4,40.51,OUIGO,172.0,885.0,43.15,IRYO,157.0,880.2,20.13,AVLO,178.0
00002_03-01-2025-06.22,IRYO,2025,1,4,6.37,157.0,43.15,332,-879.6,40.51,OUIGO,172.0,-885.0,64.66,AVE,172.0,4.8,20.13,AVLO,178.0,34.8,38.14,AVE,157.0
00021_03-01-2025-06.27,AVLO,2025,1,4,6.45,178.0,20.13,16937,-880.2,64.66,AVE,172.0,-4.8,43.15,IRYO,157.0,30.0,38.14,AVE,157.0,34.8,28.25,OUIGO,172.0
00004_03-01-2025-06.57,AVE,2025,1,4,6.95,157.0,38.14,1730,-34.8,43.15,IRYO,157.0,-30.0,20.13,AVLO,178.0,4.8,28.25,OUIGO,172.0,25.2,53.24,IRYO,157.0
00005_03-01-2025-07.02,OUIGO,2025,1,4,7.03,172.0,28.25,1256,-34.8,20.13,AVLO,178.0,-4.8,38.14,AVE,157.0,20.4,53.24,IRYO,157.0,25.2,77.5,AVE,199.0
00002_03-01-2025-07.22,IRYO,2025,1,4,7.37,157.0,53.24,38,-25.2,38.14,AVE,157.0,-20.4,28.25,OUIGO,172.0,4.8,77.5,AVE,199.0,34.8,44.67,AVE,157.0
00006_03-01-2025-07.27,AVE,2025,1,4,7.45,199.0,77.5,7,-25.2,28.25,OUIGO,172.0,-4.8,53.24,IRYO,157.0,30.0,44.67,AVE,157.0,64.8,48.87,IRYO,157.0
00004_03-01-2025-07.57,AVE,2025,1,4,7.95,157.0,44.67,602,-34.8,53.24,IRYO,157.0,-30.0,77.5,AVE,199.0,34.8,48.87,IRYO,157.0,60.0,107.99,AVE,164.0
00002_03-01-2025-08.32,IRYO,2025,1,4,8.53,157.0,48.87,89,-64.8,77.5,AVE,199.0,-34.8,44.67,AVE,157.0,25.2,107.99,AVE,164.0,50.4,42.7,IRYO,172.0
00008_03-01-2025-08.57,AVE,2025,1,4,8.95,164.0,107.99,0,-60.0,44.67,AVE,157.0,-25.2,48.87,IRYO,157.0,25.2,42.7,IRYO,172.0,30.0,64.76,AVE,194.0
00009_03-01-2025-09.22,IRYO,2025,1,4,9.37,172.0,42.7,379,-50.4,48.87,IRYO,157.0,-25.2,107.99,AVE,164.0,4.8,64.76,AVE,194.0,34.8,50.04,IRYO,172.0
00010_03-01-2025-09.27,AVE,2025,1,4,9.45,194.0,64.76,208,-30.0,107.99,AVE,164.0,-4.8,42.7,IRYO,172.0,30.0,50.04,IRYO,172.0,34.8,53.18,OUIGO,182.0
